id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
66733261 15.3137 0.0709254294633865 0.0183000005781651 789.501586914062 974.860473632812 312.75633 44.260914 0.003050844 0.0 13.4003 5726 R -Rc- 2458347.46152894 33 56 "[118] IC5070_incl_201_V2492Cyg" 5538
17402626 14.6014 0.0485389530658722 0.00630000000819564 2152.44262695312 1654.69494628906 312.756201 44.260915 0.0006642096 3.0 15.3248 1185 I I-Band 2457693.25774884 7 2 "[118] IC5070_incl_201_V2492Cyg" 1129
84122639 15.6388 0.0639495477080345 0.0165999997407198 2125.74877929688 1736.880859375 312.756412 44.260915 0.001094513 3.0 15.5099 8664 R Red 2458456.45885995 7 2 "[118] IC5070_incl_201_V2492Cyg" 8488
38069173 15.3247 0.0741689205169678 0.0141000002622604 2177.68408203125 1589.18579101562 312.756362 44.260916 0.003310712 2.0 14.6989 2997 R Red 2458031.40133102 7 2 "[118] IC5070_incl_201_V2492Cyg" 2722
13972948 14.5458 0.0493123009800911 0.00389999989420176 2171.51171875 1651.26501464844 312.756345 44.260917 0.0007683974 3.0 14.8507 987 I I-Band 2457657.3583044 7 2 "[118] IC5070_incl_201_V2492Cyg" 929
73798248 14.6515 0.0375310927629471 0.00540000014007092 2143.71337890625 1644.37976074219 312.756137 44.260918 0.0009929676 3.0 15.1480 7540 I I-Band 2458392.47603009 7 2 "[118] IC5070_incl_201_V2492Cyg" 7477
44686946 14.7149 0.0524408668279648 0.00700000021606684 2167.70361328125 1625.55065917969 312.756426 44.260919 0.001799481 3.0 14.9973 3465 I I-Band 2458096.27192564 7 2 "[118] IC5070_incl_201_V2492Cyg" 3287
66789076 15.2381 0.0783689245581627 0.0201999992132187 732.987609863281 986.303527832031 312.75617 44.260919 0.00314324 0.0 13.2238 5810 R -Rc- 2458349.33681554 33 56 "[118] IC5070_incl_201_V2492Cyg" 5592
68100990 14.1797 0.0645905733108521 0.0243999995291233 231.747406005859 427.892608642578 312.756652 44.260919 0.003261624 0.0 13.3665 6318 I I-BAND 2458334.3980787 35 41 "[118] IC5070_incl_201_V2492Cyg" 4633
77465397 15.9324 0.0 0.0443000011146069 745.366821289062 811.985900878906 312.756393 44.26092 0.002531563 512.0 14.7518 7797 V V 2458393.55946759 31 39 "[118] IC5070_incl_201_V2492Cyg" 7581
